bin_no,size
14-03,14YD 垃圾桶
14-04,14YD 垃圾桶
14-06,换14YD SOIL BIN
14-07,14YD 磚埇
14-08,14YD 垃圾桶
14-14,14YD垃圾桶（换）
14-15,14YD垃圾桶
14-17,14YD 垃圾桶
14-18,14YD 垃圾桶
14-20,14YD 垃圾桶
14-24,換14YD垃圾桶
14-25,14YD 垃圾桶
14-26,14YD 土桶
14-27,14YD垃圾桶
14-28,14YD 磚埇
14-29,14YD 土埇 (換)
14-30,14YD垃圾桶（换）
14-31,14YD 垃圾桶
14-32,14YD垃圾桶（换）
14-35,14YD 磚埇 (換)
14-37,14YD 垃圾桶
14-38,14YD土桶
14-41,14YD 垃圾桶
14-43,14YD 磚桶
14-45,10YD GRAVEL + 4YD CONCRETE SAND
14-48,14YD 垃圾桶
14-52,14YD 磚埇 (換)
14-54,14YD 磚埇
14-55,14YD 垃圾桶
14-56,14YD 垃圾桶
14-57,14YD 磚埇
14-58,14YD垃圾桶（换）
14-59,14YD 垃圾桶
14-62,14YD 土埇 (換)
14-63,14YD垃圾桶（换）
14-64,14YD 垃圾桶
14-65,14YD磚桶 （換）
14-66,14YD垃圾桶（换）
14-67,14YD 磚埇
14-68,14YD 垃圾桶
14-69,14YD 垃圾桶
14-70,14YD 垃圾桶
14-72,14YD土桶
14-75,14YD 垃圾桶
14-76,14YD 垃圾桶
14-78,換14YD垃圾桶
14-79,14YD垃圾桶（换）
14-81,14YD 垃圾桶
14-82,換14YD垃圾桶
14-83,14YD 垃圾桶
14-84,14YD 磚埇
14-85,14YD 磚桶
14-86,EXCHANGE 14YD ASPHALT BIN
14-87,14YD GARBAGE BIN
14-90,14YD 垃圾桶
14-91,"DELIVER 14YD ASPHALT BIN, PICKUP 14YD SOIL BIN"
14-92,20YD 垃圾桶
14-93,14YD磚桶 （換）
20-01,20YD 垃圾桶
20-02,20YD垃圾桶  (換)
20-03,20YD垃圾桶  (換)
20-04,20YD 垃圾桶
20-05,20YD垃圾桶 (2nd)
20-06,20YD 垃圾桶
20-07,20YD 垃圾桶
20-08,20YD 垃圾桶
20-09,20YD 垃圾桶
20-10,20YD垃圾桶  (換)
20-11,20YD 垃圾桶
20-12,20YD 垃圾桶
20-14,20YD 垃圾桶
20-15,20YD垃圾桶  (換)
20-16,20YD 垃圾桶
20-17,20YD 垃圾桶(换）
20-18,20YD垃圾桶  (換)
20-19,20YD垃圾桶  (換)
20-20,20YD 垃圾桶(换）
20-21,20YD垃圾桶  (換)
20-22,20YD 垃圾桶
20-23,20YD垃圾桶  (換)
20-24,20YD垃圾桶  (換)
20-25,20YD垃圾桶  (換)
20-26,20YD 垃圾桶
20-27,20YD 垃圾桶
20-28,20YD 垃圾桶
20-29,20YD 垃圾桶
20-30,20YD 垃圾桶
20-31,20YD 垃圾桶
20-32,20YD 垃圾桶
20-34,20YD 垃圾桶
20-35,20YD 垃圾桶 (清雪)
20-36,20YD垃圾桶
20-37,20YD 垃圾桶
20-38,20YD 垃圾桶
20-39,20YD垃圾桶  (換)
20-40,20YD垃圾桶  (換)
20-41,20YD 垃圾桶
20-42,20YD 垃圾桶
20-43,20YD 垃圾桶
20-44,20YD 垃圾桶
20-45,20YD 垃圾桶
20-47,20YD 垃圾桶
20-48,20YD 垃圾桶
20-49,20YD 垃圾桶 (清雪)
20-50,20YD 垃圾桶
20-52,20YD 垃圾桶
20-53,20YD 垃圾桶
30-01,30YD垃圾桶 (换）
30-02,30YD 垃圾桶
30-02（旧）,30YD垃圾桶 (换）
30-10（旧）,30YD垃圾桶 (换）
40-01,40YD 垃圾桶
40-02,40YD垃圾桶  (換)
40-03,40YD垃圾桶  (換)
40-05,40YD 垃圾桶
40-06,40YD 垃圾桶
40-07,40YD垃圾桶
40-08,40YD 垃圾桶（换）
40-10,40YD 垃圾桶
40-11,40YD垃圾桶  (換)
40-12,40YD 垃圾桶 (2nd)
40-13,40YD垃圾桶  (換)
40-14,40YD 垃圾桶（换）
40-15,換40YD垃圾桶
40-16,40YD 垃圾桶
40-17,40YD 垃圾桶
40-18,40YD 垃圾桶
40-19,40YD 垃圾桶
40-20,40YD 垃圾桶 (清雪)
40-21,40YD 垃圾桶
40-22,40YD 垃圾桶
40-23,40YD垃圾桶  (換)
40-24,40YD 垃圾桶
40-25,40YD 垃圾桶
40-26,40YD 垃圾桶（换）
ER620H,ER620H (1 day)
L20-02,20YD 垃圾桶
L20-03,20YD 垃圾桶
L20-04,20YD 垃圾桶
L20-05,20YD 垃圾桶
L20-06,20YD 垃圾桶
L20-07,20YD垃圾桶  (換)
L20-09,20YD垃圾桶  (換)
L20-13,20YD垃圾桶  (換)
L20-14,20YD 垃圾桶
L20-15,20YD垃圾桶  (換)
L20-16,20YD 垃圾桶
L20-17,20YD 垃圾桶
L20-18,20YD垃圾桶  (換)
L20-19,換20YD垃圾桶 (鐵桶)
L20-20,20YD 垃圾桶 (清雪)
L20-21,20YD 垃圾桶
