未收桶订单报表 — 共 210 单（已送出，无收桶记录）,,,,,,
#,单号,送出日期,月份,地址,桶型,司机
2,SOT12718,1-May-26,5 月,"3025 Kennedy Rd, Scarborough, ON M1V 1S3",換14YD磚埇,成
3,SOT12761,1-May-26,5 月,"76 Woodward Ave, Thornhill, ON L3T 1E7",換14YD垃圾桶,坤
4,SOT12719,1-May-26,5 月,"26 Orlon Crescent, Richmond Hill, ON L4C 6S5",換20YD垃圾桶,坤
6,SOT12733,1-May-26,5 月,"17 Leno Mills Ave, Richmond Hill, ON L4S 1J3",20YD 垃圾桶,坤
7,SOT12706,1-May-26,5 月,"70 Copperwood Square, Scarborough, ON M1V 2C1",14YD垃圾桶,坤
8,SOT12735,1-May-26,5 月,"67 Jacob Keffer Pkwy, Vaughan, ON L4K 5N8",換40YD 垃圾桶,Jason
9,SOT12717,1-May-26,5 月,"371 Woodsworth Rd, North York, ON M2L 2T8",換20YD垃圾桶,Jason
10,SOT12712,1-May-26,5 月,"55 Milne Ave, Toronto, ON M1L 1K1",換40YD 垃圾桶,Jason
11,SOT12364,10-Apr-26,4 月,"111 Manitoba St, Whitchurch-Stouffville, ON L4A 4Y2",換20YD垃圾桶,成
12,SOT12352,10-Apr-26,4 月,"87 Steelcase Rd W, Markham, ON L3R 2S5",換20YD垃圾桶,坤
13,S0T10343,10-Jan-26,1 月,"1423 Rougemount Dr, Pickering, ON L1V 1N2","拉40YD, 送20YD垃圾桶",坤
15,D09683,10-May-26,5 月,"53 York Rd, North York, ON M2L 1H7",14YD 磚桶+3YD HPB,Mike
16,D09680,10-May-26,5 月,"102 Fenelon Dr, North York, ON M3A 3K6",EXCHANGE 14YD SOIL BIN,Mike
17,SOT12992,10-May-26,5 月,"10050 Warden Ave., Markham, ON L6C 1Y8",14YD 垃圾桶,Mike
20,S0T10668,11-Feb-26,2 月,"11 Shadbolt Ct, Unionville, ON L3R 1W3",14YD 垃圾桶,坤
32,S0T10287,12-Jan-26,1 月,"58 Scarboro Ave, Scarborough, ON M1C 1M3",20YD垃圾桶  (換),坤
34,D09619,13-Apr-26,4 月,"Unit 4, 560 Denison St, Markham, ON L3R 1B8",14YD 磚埇,刀
36,D09621,14-Apr-26,4 月,"Unit 2, 560 Denison St, Markham, ON L3R 2M8",换14YD磚桶,Jason
38,SOT12405,14-Apr-26,4 月,"1 Ahorn Grove, Markham, ON L6C 1C8",換40YD垃圾桶,成
40,SOT10246,14-Jan-26,1 月,"9 Boynton Cir, Markham, ON L6C 1A8",20YD 垃圾桶,成
41,D09626,15-Apr-26,4 月,"Unit 26, 80 Bass Pro Mills Dr, Concord, ON L4K 5W9",換14YD磚桶,Nick
43,SOT12453,16-Apr-26,4 月,"20 Mcindoos Cemetery Rd, Woodville, ON K0M 2T0",換20YD垃圾桶,Mike
44,SOT12450,16-Apr-26,4 月,"21 Clarkhill St, North York, ON M2R 2G6",20YD 垃圾桶,Jason
47,SOT12469,17-Apr-26,4 月,"34 Priory Dr, Whitby, ON L1P 2A9",換14YD垃圾桶,坤
48,SOT12003,18-Mar-26,3 月,"Unit 11, 45A West Wilmot St, Richmond Hill, ON L4B 2P3",30YD垃圾桶  (換),成
49,SOT12082,19-Mar-26,3 月,120 Van Kirk Drive Brampton,14YD 磚桶,成
50,SOT12083,19-Mar-26,3 月,120 Van Kirk Drive Brampton,14YD 磚桶,成
51,SOT12084,19-Mar-26,3 月,120 Van Kirk Drive Brampton,14YD 磚桶,成
53,SOT12774,2-May-26,5 月,"67 Jacob Keffer Pkwy, Vaughan, ON L4K 5N8",換40YD垃圾桶,刀
54,SOT12760,2-May-26,5 月,"23 Boynton Cir, Markham, ON L6C 1A8",換20YD垃圾桶,刀
55,SOT12740,2-May-26,5 月,"48 Homestead Rd, Scarborough, ON M1E 3R9",20YD垃圾桶,Jason
56,SOT12755,2-May-26,5 月,"2967 Kennedy Rd, Toronto, ON M1V 1S9",換40YD垃圾桶,成
57,SOT12511,20-Apr-26,4 月,"1123 Leslie St, North York, ON M3C 2K5",換20YD垃圾桶,坤
58,SOT12510,20-Apr-26,4 月,"92 Arran Crescent, Woodbridge, ON L4L 1G6",14YD垃圾桶,Nick
59,SOT12500,20-Apr-26,4 月,"29 Donna Ct, North York, ON M2M 2C9",40YD 垃圾桶,Nick
61,SOT12055,20-Mar-26,3 月,"189 Milner Ave, Toronto, ON M1S 4N4",20YD垃圾桶  (換),坤
62,D09635,21-Apr-26,4 月,"59 Granger Ave, Scarborough, ON M1K 3K9",換14YD 磚桶,Nick
63,SOT12498,21-Apr-26,4 月,"30 Alanadale Ave, Markham, ON L3P 1S3",14YD 垃圾桶,Jason
65,SOT12053,21-Mar-26,3 月,"73 Marsh St, Ridgetown, ON N0P 2C0",换40YD垃圾桶,成
67,SOT12543,22-Apr-26,4 月,"66 Rancliffe Rd, Oakville, ON L6H 1B2", 換20YD垃圾桶,坤
68,SOT12537,23-Apr-26,4 月,"61 Willett Crescent, Richmond Hill, ON L4C 7W2",20YD GARBAGE BIN,Jason
69,SOT12559,23-Apr-26,4 月,"27 Hartwell Pl, Markham, ON L6C 2K3",14YD GARBAGE BIN,坤
70,SOT12571,23-Apr-26,4 月,"74 Miles St, Milton, ON L9T 1E6",40YD垃圾桶,Nick
73,SOT12566,23-Apr-26,4 月,"17 Silk Ct, Richmond Hill, ON L4B 4A4",換20YD垃圾桶,Jason
80,SOT12595,24-Apr-26,4 月,"229 Mavrinac Blvd, Aurora, ON L4G 7T6",換20YD垃圾桶,Jason
